Env_Temp,BMP_Pressure,BMP_Altitude,Light,DHT_Humidity,MQ135_CO2,MQ135_CO,MQ135_NH3,Soil_Moisture,Soil_Temp,pH,N,P,K,district,location,season,target_crops
16.23,1062.04,,85869.04,46.80,388.03,3.03,,,,,260.47,,,Raigad,,,"Coconut, Vari"
30.55,990.31,4.79,88362.20,30.00,440.53,2.85,0.81,20.36,26.27,5.89,326.84,11.42,268.47,Raigad,Alibag/Mangaon,Summer,Coconut
18.59,977.27,59.10,57172.10,52.53,431.97,3.23,3.43,46.18,12.62,6.03,274.90,6.51,235.20,Raigad,Karjat,Winter,Coconut
,809.66,,,44.61,,,0.12,60.62,,6.21,,,,Nashik,Igatpuri (Ghat Zone),,Vegetables
17.96,932.16,,,57.90,387.29,3.13,2.31,32.95,15.63,,228.67,9.97,258.76,Raigad,Karjat,Winter,"Ragi, Rice"
27.21,930.60,13.49,55402.30,98.65,433.46,0.14,0.50,86.77,24.21,6.33,,16.92,250.95,Raigad,,Monsoon,Cashew
25.41,1019.15,49.48,66655.66,53.72,392.05,4.63,1.55,44.22,22.18,5.72,,10.18,190.61,Raigad,Karjat,Winter,"Ragi, Coconut, Cashew"
31.88,1027.53,572.31,104318.80,,438.97,1.84,0.47,52.71,28.74,8.29,200.38,38.35,239.72,,Baglan/Kalwan,Summer,Grapes
,976.38,896.93,85994.48,,319.43,2.59,2.84,58.47,36.62,5.99,255.10,,154.34,Nashik,Igatpuri (Ghat Zone),Summer,Rice
,,12.13,,54.01,406.35,,2.08,,,,,9.91,,Raigad,,Winter,"Cashew, Arecanut, Mango"
32.03,,8.33,99974.67,,,0.62,3.37,23.36,31.02,6.18,281.07,13.41,223.83,Raigad,Alibag/Mangaon,,"Cashew, Cotton, Arecanut, Rice"
41.58,971.00,49.35,55316.94,77.80,466.41,3.46,0.38,82.19,36.64,6.44,260.93,7.30,226.04,Raigad,Karjat,Monsoon,"Cashew, Green Gram, Vari"
12.09,938.09,,59923.72,65.10,418.15,2.55,4.16,47.23,8.50,7.61,276.93,31.82,351.97,,Niphad/Yeola,Winter,"Sugarcane, Cotton, Grapes, Wheat"
25.03,1010.55,53.89,64031.68,57.04,420.51,4.89,3.51,32.19,21.04,5.28,334.37,,191.39,Raigad,Karjat,Winter,Vari
32.09,916.44,840.05,52459.96,94.95,412.64,3.31,,79.45,33.66,6.39,309.60,7.16,143.26,Nashik,Igatpuri (Ghat Zone),Monsoon,Finger Millet
16.77,921.08,59.98,,41.65,429.27,1.03,0.26,48.00,16.56,5.38,257.31,6.25,175.17,Raigad,Karjat,Winter,Coconut
32.09,1085.53,,102037.51,31.56,493.19,2.46,2.11,11.92,32.02,,287.94,5.21,185.19,Raigad,Alibag/Mangaon,Summer,"Coconut, Banana, Rice"
36.72,912.46,491.64,93888.79,29.64,457.26,2.84,1.61,,32.32,7.63,200.61,41.71,222.43,,Baglan/Kalwan,Summer,"Soybean, Grapes, Bajra"
41.97,1034.40,9.89,21302.85,93.62,445.39,1.71,3.34,86.10,32.20,5.51,326.98,11.95,216.22,Raigad,,Monsoon,Arecanut
17.23,981.55,,91875.75,,413.39,4.35,,37.85,15.61,6.50,357.03,10.45,263.74,Raigad,Alibag/Mangaon,Winter,"Coconut, Arecanut, Rice"
